timestamp,G1,G2,G3,G4,G5,G6,total_vehicles,Label,seconds
1970-01-01 00:06:36,0,0,1,0,1,0,2,MEDIUM,396
1970-01-01 00:06:40,1,0,0,0,0,0,1,LOW,400
1970-01-01 00:06:41,0,0,0,1,0,0,1,LOW,401
1970-01-01 00:06:42,0,1,0,0,0,0,1,LOW,402
1970-01-01 00:06:45,0,0,1,0,0,0,1,LOW,405
1970-01-01 00:06:49,1,0,0,0,1,0,2,MEDIUM,409
1970-01-01 00:06:52,0,1,0,0,0,0,1,LOW,412
1970-01-01 00:06:53,0,0,0,0,0,1,1,LOW,413
1970-01-01 00:06:54,0,0,0,1,0,0,1,LOW,414
1970-01-01 00:06:56,0,0,1,0,0,0,1,LOW,416
1970-01-01 00:07:01,1,1,0,0,1,0,3,HEAVY,421
1970-01-01 00:07:02,0,0,0,0,0,1,1,LOW,422
1970-01-01 00:07:05,0,0,0,1,0,0,1,LOW,425
1970-01-01 00:07:06,0,0,1,0,0,0,1,LOW,426
1970-01-01 00:07:11,1,1,0,0,0,1,3,HEAVY,431
1970-01-01 00:07:15,0,0,1,1,1,0,3,HEAVY,435
1970-01-01 00:07:20,0,1,0,0,0,0,1,LOW,440
1970-01-01 00:07:21,1,0,0,0,0,0,1,LOW,441
1970-01-01 00:07:23,0,0,0,0,0,1,1,LOW,443
1970-01-01 00:07:24,0,0,1,0,0,0,1,LOW,444
1970-01-01 00:07:26,0,0,0,1,0,0,1,LOW,446
1970-01-01 00:07:30,1,1,0,0,0,0,2,MEDIUM,450
1970-01-01 00:07:31,0,0,0,0,1,0,1,LOW,451
1970-01-01 00:07:34,0,0,1,0,0,0,1,LOW,454
1970-01-01 00:07:37,0,0,0,0,0,1,1,LOW,457
1970-01-01 00:07:39,1,0,0,0,0,0,1,LOW,459
1970-01-01 00:07:41,0,1,0,0,0,0,1,LOW,461
1970-01-01 00:07:42,0,0,0,0,1,0,1,LOW,462
1970-01-01 00:07:47,0,0,0,0,0,1,1,LOW,467
1970-01-01 00:07:48,1,0,0,0,0,0,1,LOW,468
1970-01-01 00:07:50,0,0,1,0,0,0,1,LOW,470
1970-01-01 00:07:51,0,1,0,1,0,0,2,MEDIUM,471
1970-01-01 00:07:54,0,0,0,0,1,0,1,LOW,474
1970-01-01 00:08:00,1,1,1,0,0,0,3,HEAVY,480
1970-01-01 00:08:02,0,0,0,0,0,1,1,LOW,482
1970-01-01 00:08:03,0,0,0,1,0,0,1,LOW,483
1970-01-01 00:08:11,1,0,0,0,0,0,1,LOW,491
1970-01-01 00:08:12,0,1,0,0,1,0,2,MEDIUM,492
1970-01-01 00:08:13,0,0,1,0,0,0,1,LOW,493
1970-01-01 00:08:14,0,0,0,1,0,0,1,LOW,494
1970-01-01 00:08:15,0,0,0,0,0,1,1,LOW,495
1970-01-01 00:08:21,1,1,0,0,0,0,2,MEDIUM,501
1970-01-01 00:08:22,0,0,1,0,1,0,2,MEDIUM,502
1970-01-01 00:08:27,0,0,0,1,0,0,1,LOW,507
1970-01-01 00:08:30,0,1,0,0,0,0,1,LOW,510
1970-01-01 00:08:31,1,0,0,0,0,0,1,LOW,511
1970-01-01 00:08:32,0,0,1,0,0,0,1,LOW,512
1970-01-01 00:08:35,0,0,0,0,1,0,1,LOW,515
1970-01-01 00:08:40,0,0,0,1,0,0,1,LOW,520
1970-01-01 00:08:41,1,1,0,0,0,0,2,MEDIUM,521
1970-01-01 00:08:43,0,0,1,0,0,0,1,LOW,523
1970-01-01 00:08:50,1,0,0,1,0,0,2,MEDIUM,530
1970-01-01 00:08:51,0,1,0,0,0,0,1,LOW,531
1970-01-01 00:08:52,0,0,1,0,1,0,2,MEDIUM,532
1970-01-01 00:08:57,0,0,0,0,0,1,1,LOW,537
1970-01-01 00:09:00,0,1,0,0,0,0,1,LOW,540
1970-01-01 00:09:01,1,0,1,0,0,0,2,MEDIUM,541
1970-01-01 00:09:04,0,0,0,0,1,0,1,LOW,544
1970-01-01 00:09:07,0,0,0,1,0,0,1,LOW,547
1970-01-01 00:09:10,0,1,0,0,0,0,1,LOW,550
1970-01-01 00:09:12,1,0,0,0,0,0,1,LOW,552
1970-01-01 00:09:14,0,0,1,0,0,0,1,LOW,554
1970-01-01 00:09:15,0,0,0,0,1,1,2,MEDIUM,555
1970-01-01 00:09:16,0,0,0,1,0,0,1,LOW,556
1970-01-01 00:09:20,0,1,0,0,0,0,1,LOW,560
1970-01-01 00:09:21,1,0,0,0,0,0,1,LOW,561
1970-01-01 00:09:26,0,0,1,0,0,0,1,LOW,566
1970-01-01 00:09:29,0,1,0,0,0,0,1,LOW,569
1970-01-01 00:09:31,1,0,0,0,0,0,1,LOW,571
1970-01-01 00:09:33,0,0,0,0,0,1,1,LOW,573
1970-01-01 00:09:35,0,0,0,0,1,0,1,LOW,575
1970-01-01 00:09:36,0,0,1,0,0,0,1,LOW,576
1970-01-01 00:09:40,1,1,0,0,0,0,2,MEDIUM,580
1970-01-01 00:09:47,0,0,0,1,1,0,2,MEDIUM,587
1970-01-01 00:09:48,0,0,1,0,0,0,1,LOW,588
